ID,registrationDate,attendanceConfirmed,session_ID,user_ID
r1111111-1111-1111-1111-111111111111,2026-03-20T10:00:00,true,aaaa1111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111102
r2222222-2222-2222-2222-222222222222,2026-03-21T09:30:00,true,aaaa2222-2222-2222-2222-222222222222,11111111-1111-1111-1111-111111111101
r3333333-3333-3333-3333-333333333333,2026-03-22T11:00:00,true,bbbb1111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111102
r4444444-4444-4444-4444-444444444444,2026-01-15T10:00:00,true,dddd1111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111101
r5555555-5555-5555-5555-555555555555,2026-01-16T14:00:00,true,dddd2222-2222-2222-2222-222222222222,11111111-1111-1111-1111-111111111103
r6666666-6666-6666-6666-666666666666,2026-01-17T09:00:00,true,dddd3333-3333-3333-3333-333333333333,11111111-1111-1111-1111-111111111103
r7777777-7777-7777-7777-777777777777,2026-01-18T11:30:00,true,dddd4444-4444-4444-4444-444444444444,11111111-1111-1111-1111-111111111102
r8888888-8888-8888-8888-888888888888,2026-02-01T10:00:00,true,eeee1111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111102
r9999999-9999-9999-9999-999999999999,2026-02-02T15:00:00,true,eeee2222-2222-2222-2222-222222222222,11111111-1111-1111-1111-111111111103
r0000010-0000-0000-0000-000000000010,2026-02-03T08:30:00,true,eeee3333-3333-3333-3333-333333333333,11111111-1111-1111-1111-111111111101
r0000011-0000-0000-0000-000000000011,2026-03-10T10:00:00,true,aaaa3333-3333-3333-3333-333333333333,11111111-1111-1111-1111-111111111103
r0000012-0000-0000-0000-000000000012,2026-03-11T09:00:00,true,aaaa4444-4444-4444-4444-444444444444,11111111-1111-1111-1111-111111111102
r0000013-0000-0000-0000-000000000013,2026-03-12T11:00:00,true,aaaa5555-5555-5555-5555-555555555555,11111111-1111-1111-1111-111111111101
r0000014-0000-0000-0000-000000000014,2026-04-20T10:00:00,false,bbbb3333-3333-3333-3333-333333333333,11111111-1111-1111-1111-111111111103
r0000015-0000-0000-0000-000000000015,2026-04-21T14:00:00,false,bbbb4444-4444-4444-4444-444444444444,11111111-1111-1111-1111-111111111103
r0000016-0000-0000-0000-000000000016,2026-04-22T09:30:00,true,bbbb5555-5555-5555-5555-555555555555,11111111-1111-1111-1111-111111111102
r0000017-0000-0000-0000-000000000017,2026-04-25T10:00:00,false,cccc1111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111101
r0000018-0000-0000-0000-000000000018,2026-05-01T09:00:00,false,66661111-1111-1111-1111-111111111111,11111111-1111-1111-1111-111111111102
r0000019-0000-0000-0000-000000000019,2026-05-05T11:00:00,false,77772222-2222-2222-2222-222222222222,11111111-1111-1111-1111-111111111103
