ID,title,description,startTime,endTime,speaker,room,capacity,event_ID
aaaa1111-1111-1111-1111-111111111111,Introduction to SAP CAP,Learn CAP basics,2026-04-10T09:00:00,2026-04-10T10:00:00,Jan Peeters,A1,40,a1111111-1111-1111-1111-111111111111
aaaa2222-2222-2222-2222-222222222222,Building SAP UI5 Apps,UI5 development fundamentals and patterns,2026-04-10T10:30:00,2026-04-10T11:30:00,Sarah Jacobs,A2,30,a1111111-1111-1111-1111-111111111111
aaaa3333-3333-3333-3333-333333333333,SAP BTP Overview,Overview of SAP Business Technology Platform services,2026-04-10T11:45:00,2026-04-10T12:45:00,Mark De Wolf,A1,50,a1111111-1111-1111-1111-111111111111
aaaa4444-4444-4444-4444-444444444444,SAP Integration Suite,Connecting systems with SAP Integration Suite,2026-04-10T13:30:00,2026-04-10T14:30:00,Lisa Nguyen,A2,35,a1111111-1111-1111-1111-111111111111
aaaa5555-5555-5555-5555-555555555555,SAP Security Best Practices,Securing SAP landscapes in the cloud era,2026-04-10T15:00:00,2026-04-10T16:00:00,David Kim,B1,45,a1111111-1111-1111-1111-111111111111
bbbb1111-1111-1111-1111-111111111111,AI in Business,Using AI in companies,2026-05-15T09:00:00,2026-05-15T10:30:00,Tom Janssen,B1,50,a2222222-2222-2222-2222-222222222222
bbbb2222-2222-2222-2222-222222222222,Machine Learning Basics,ML introduction for business professionals,2026-05-15T11:00:00,2026-05-15T12:30:00,Emma Claes,B2,40,a2222222-2222-2222-2222-222222222222
bbbb3333-3333-3333-3333-333333333333,Generative AI Workshop,Hands-on with LLMs and prompt engineering,2026-05-15T13:30:00,2026-05-15T15:00:00,Sophie Laurent,B1,35,a2222222-2222-2222-2222-222222222222
bbbb4444-4444-4444-4444-444444444444,AI Ethics & Governance,Responsible AI frameworks for enterprise,2026-05-15T15:30:00,2026-05-15T16:30:00,Ahmed Hassan,B2,60,a2222222-2222-2222-2222-222222222222
bbbb5555-5555-5555-5555-555555555555,LLMs in Enterprise,Deploying large language models at scale,2026-05-15T09:00:00,2026-05-15T10:30:00,Nina Patel,C1,45,a2222222-2222-2222-2222-222222222222
cccc1111-1111-1111-1111-111111111111,Cloud Strategy Fundamentals,Building a cloud-first roadmap for your organisation,2026-06-20T09:00:00,2026-06-20T10:30:00,Peter Van den Berg,A1,50,a3333333-3333-3333-3333-333333333333
cccc2222-2222-2222-2222-222222222222,AWS vs Azure vs GCP,Comparing the three major cloud providers,2026-06-20T11:00:00,2026-06-20T12:00:00,Maria Santos,A2,40,a3333333-3333-3333-3333-333333333333
cccc3333-3333-3333-3333-333333333333,Kubernetes in Practice,Container orchestration for production workloads,2026-06-20T13:00:00,2026-06-20T14:30:00,James Wright,B1,35,a3333333-3333-3333-3333-333333333333
cccc4444-4444-4444-4444-444444444444,Cloud Cost Optimisation,Reducing cloud spend without losing performance,2026-06-20T15:00:00,2026-06-20T16:00:00,Yuki Tanaka,A1,45,a3333333-3333-3333-3333-333333333333
